Employee ID,Leave_Start_Date,Leave_End_Date,Date of joining the company,Type of Leave,Reason of Leave,Department/Team,Position in team,Application Status
668,27-03-2017,27-03-2017,09-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Poster project presentation,Not Available,Forex Intern,Approved
668,11-04-2017,11-04-2017,09-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,I am engineering student and my last semester pursuing so I have Submission in my college. ,Not Available,Forex Intern,Rejected
668,02-05-2017,02-05-2017,09-02-2017,Earned Leave Intern COE,My Last semester is pursuing and exam was on 02 may 2017.,Not Available,Forex Intern,Pending
668,27-04-2017,27-04-2017,09-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Sir I am not feeling good so today I am not coming office so please grant me one day leave.,Not Available,Forex Intern,Pending
668,28-04-2017,28-04-2017,09-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Examination will be start from 29 April 2017 and my college center is in Anand.,Not Available,Forex Intern,Pending
640,30-03-2017,30-03-2017,25-01-2017,Earned Leave Intern COE,project submission day-1 at college,Not Available,Forex Intern,Approved
640,31-03-2017,31-03-2017,25-01-2017,Earned Leave Intern COE,project submission in project fair at college day-2,Not Available,Forex Intern,Approved
640,02-05-2017,02-05-2017,25-01-2017,Earned Leave Intern COE,university exam ,Not Available,Forex Intern,Approved
640,27-02-2017,27-02-2017,25-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,college exam,Not Available,Forex Intern,Approved
640,27-04-2017,27-04-2017,25-01-2017,Earned Leave Intern COE,college internal submission,Not Available,Forex Intern,Rejected
640,13-02-2017,13-02-2017,25-01-2017,Earned Leave Intern COE,I've out of city and that day i haven't received my BEM mail so please approve my request,Not Available,Forex Intern,Rejected
640,22-02-2017,22-02-2017,25-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,passport appointment,Not Available,Forex Intern,Rejected
640,28-04-2017,28-04-2017,25-01-2017,Earned Leave Intern COE,college internal viva,Not Available,Forex Intern,Pending
420,19-01-2017,19-01-2017,28-11-2016,Earned Leave Intern COE,pooja at home,Not Available,Forex Intern,Approved
420,21-03-2017,21-03-2017,28-11-2016,Earned Leave Intern COE,Family emergency,Not Available,Forex Intern,Approved
420,02-05-2017,03-05-2017,28-11-2016,Earned Leave Intern COE,Fever,Not Available,Forex Intern,Approved
420,13-04-2017,14-04-2017,28-11-2016,Leave Without Pay for SixCap Mumbai COE Intern,Marksheet,Not Available,Forex Intern,Approved
89,03-04-2017,03-04-2017,01-02-2016,Casual Leave Confirmed COE,Personal work,null,Trainee Dealer,Approved
89,10-04-2017,10-04-2017,01-02-2016,Casual Leave Confirmed COE,Due to some emergency in bank,null,Trainee Dealer,Approved
89,20-04-2017,21-04-2017,01-02-2016,Casual Leave Confirmed COE,Visiting hometown,null,Trainee Dealer,Approved
89,24-02-2017,27-02-2017,01-02-2016,Earned Leave Confirmed COE,Family function,null,Trainee Dealer,Rejected
89,01-03-2017,01-03-2017,01-02-2016,Earned Leave Confirmed COE,Work at home,null,Trainee Dealer,Rejected
89,03-05-2017,03-05-2017,01-02-2016,Earned Leave Confirmed COE,Not feeling well,null,Trainee Dealer,Pending
161,04-04-2017,04-04-2017,17-02-2016,Earned Leave Intern COE,Not feeling well,null,Forex Intern,Approved
161,31-01-2017,31-01-2017,17-02-2016,Earned Leave Intern COE,To attend family function on 31.01.2017,null,Forex Intern,Approved
161,12-04-2017,12-04-2017,17-02-2016,Leave Without Pay for SixCap Mumbai COE Intern,"I am not feeling well, having fever.",null,Forex Intern,Approved
161,02-05-2017,03-05-2017,17-02-2016,Leave Without Pay for SixCap Mumbai COE Intern,Out of Station,null,Forex Intern,Approved
161,28-04-2017,28-04-2017,17-02-2016,Leave Without Pay for SixCap Mumbai COE Intern,To attend family function,null,Forex Intern,Pending
224,17-02-2017,17-02-2017,22-11-2016,Casual Leave Confirmed VHR,Family Function,Marketing,Executive Assistant,Approved
855,12-04-2017,12-04-2017,15-03-2017,Earned Leave Intern COE,exam,Finance,Forex Intern,Approved
855,03-04-2017,07-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,exam,Finance,Forex Intern,Approved
855,13-04-2017,13-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,exam,Finance,Forex Intern,Approved
855,17-04-2017,17-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,exam,Finance,Forex Intern,Approved
855,18-04-2017,18-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,exam,Finance,Forex Intern,Approved
855,26-04-2017,28-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,exam,Finance,Forex Intern,Approved
855,27-03-2017,27-03-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,project presentation,Finance,Forex Intern,Approved
855,01-05-2017,02-05-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,exam,Finance,Forex Intern,Approved
848,06-04-2017,06-04-2017,15-03-2017,Earned Leave Intern COE,mid term,Finance,Forex Intern,Approved
848,07-04-2017,07-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,mid term,Finance,Forex Intern,Approved
848,10-04-2017,10-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,mid term,Finance,Forex Intern,Approved
848,12-04-2017,12-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,mid term,Finance,Forex Intern,Approved
848,13-04-2017,13-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,mid term,Finance,Forex Intern,Approved
848,26-04-2017,26-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,university exams,Finance,Forex Intern,Approved
848,27-04-2017,27-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,university exams,Finance,Forex Intern,Approved
848,28-04-2017,28-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,university exams,Finance,Forex Intern,Approved
848,17-04-2017,17-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,college,Finance,Forex Intern,Rejected
848,18-04-2017,18-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,college submission,Finance,Forex Intern,Rejected
848,25-04-2017,25-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,project presentation,Finance,Forex Intern,Rejected
628,03-04-2017,03-04-2017,18-01-2017,Earned Leave Intern COE,Project submission,Not Available,Forex Intern,Approved
628,07-04-2017,07-04-2017,18-01-2017,Earned Leave Intern COE,final submission,Not Available,Forex Intern,Approved
628,17-02-2017,17-02-2017,18-01-2017,Earned Leave Intern COE,casual,Not Available,Forex Intern,Approved
628,17-03-2017,17-03-2017,18-01-2017,Earned Leave Intern COE,submissions,Not Available,Forex Intern,Approved
628,27-03-2017,27-03-2017,18-01-2017,Earned Leave Intern COE,project submission,Not Available,Forex Intern,Approved
628,27-02-2017,02-03-2017,18-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,"i am last year engineering student so,i have to attend mid semester examination ",Not Available,Forex Intern,Approved
144,09-01-2017,09-01-2017,02-11-2015,Leave Without Pay LWP Confirmed SixCap Mumbai COE,Vomitting and Fever,null,Trainee Dealer,Rejected
136,23-02-2017,23-02-2017,01-09-2016,Earned Leave Confirmed COE,not feeling well,null,Trainee Dealer,Rejected
136,28-02-2017,03-03-2017,01-09-2016,Earned Leave Confirmed COE,going out of state,null,Trainee Dealer,Rejected
136,02-05-2017,03-05-2017,01-09-2016,Earned Leave Confirmed COE,Out of station,null,Trainee Dealer,Pending
667,13-04-2017,13-04-2017,13-02-2017,Earned Leave Intern COE,college work,Not Available,Forex Intern,Approved
667,18-04-2017,18-04-2017,13-02-2017,Earned Leave Intern COE,My project is in exhibition and i am the host for that. ,Not Available,Forex Intern,Approved
667,19-04-2017,19-04-2017,13-02-2017,Earned Leave Intern COE,My project is in exhibition and i am the host for that,Not Available,Forex Intern,Approved
667,28-04-2017,28-04-2017,13-02-2017,Earned Leave Intern COE,collecting hall ticket for university exams,Not Available,Forex Intern,Approved
667,01-03-2017,01-03-2017,13-02-2017,Earned Leave Intern COE,internal college exams,Not Available,Forex Intern,Approved
667,02-03-2017,03-03-2017,13-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,College Internal exams,Not Available,Forex Intern,Approved
667,02-03-2017,03-03-2017,13-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,internal college exams,Not Available,Forex Intern,Approved
667,10-04-2017,10-04-2017,13-02-2017,Earned Leave Intern COE,College Submission,Not Available,Forex Intern,Rejected
667,17-04-2017,17-04-2017,13-02-2017,Earned Leave Intern COE,college work,Not Available,Forex Intern,Rejected
667,01-03-2017,01-03-2017,13-02-2017,Earned Leave Intern COE,College Internal Exams,Not Available,Forex Intern,Rejected
179,02-01-2017,02-01-2017,01-03-2016,Earned Leave Intern COE,Not feeling well,null,Trainee Dealer,Approved
179,26-01-2017,26-01-2017,01-03-2016,Leave Without Pay for SixCap Mumbai COE Intern,Going out of town,null,Trainee Dealer,Approved
643,07-04-2017,07-04-2017,01-02-2017,Earned Leave Intern COE,casual leave,Not Available,Forex Intern,Approved
643,17-04-2017,17-04-2017,01-02-2017,Earned Leave Intern COE,sick leave,Not Available,Forex Intern,Approved
643,10-04-2017,10-04-2017,01-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,family problem ,Not Available,Forex Intern,Approved
643,14-03-2017,14-03-2017,01-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,passport appointment ,Not Available,Forex Intern,Approved
209,08-03-2017,08-03-2017,01-08-2016,Earned Leave Intern COE,engagement shopping,null,Forex Intern,Approved
209,10-02-2017,10-02-2017,01-08-2016,Earned Leave Intern COE,Leave Application due to Cold,null,Forex Intern,Rejected
209,02-05-2017,03-05-2017,01-08-2016,Leave Without Pay for SixCap Mumbai COE Intern,wedding purpose,null,Forex Intern,Pending
162,28-04-2017,28-04-2017,02-02-2016,Casual Leave Confirmed COE,Family Function ,null,Trainee Dealer,Approved
162,02-05-2017,02-05-2017,02-02-2016,Casual Leave Confirmed COE,Out of station ,null,Trainee Dealer,Approved
162,10-01-2017,10-01-2017,02-02-2016,Earned Leave Intern COE,Having appointment with Doctor ,null,Trainee Dealer,Approved
162,07-02-2017,07-02-2017,02-02-2016,Leave Without Pay for SixCap Mumbai COE Intern,Cold and Cough,null,Trainee Dealer,Approved
162,02-01-2017,04-01-2017,02-02-2016,Leave Without Pay for SixCap Mumbai COE Intern,"Had small surgery last week, need time for recovery",null,Trainee Dealer,Approved
162,12-01-2017,12-01-2017,02-02-2016,Leave Without Pay for SixCap Mumbai COE Intern,Infection,null,Trainee Dealer,Approved
162,13-01-2017,13-01-2017,02-02-2016,Leave Without Pay for SixCap Mumbai COE Intern,Infection ,null,Trainee Dealer,Approved
7,10-01-2017,12-01-2017,09-03-2010,Earned Leave Confirmed VHR,"My wife is admitted by Dr Suri at Cosmo Hospital Mohali for baby delivery. Who is expecting baby by today afternoon any time. So, humble request u to pls approve my leaves for 10-11-12  Jan'2017. Thanks in advance for understanding my request.   ",Marketing,AVP,Pending
501,17-04-2017,17-04-2017,12-12-2016,Earned Leave Intern COE,Not well ,Business Process Management,Intern,Approved
501,25-01-2017,25-01-2017,12-12-2016,Earned Leave Intern COE,Out of Station,Business Process Management,Intern,Approved
501,25-01-2017,25-01-2017,12-12-2016,Earned Leave Intern COE,Out of station ,Business Process Management,Intern,Approved
501,27-01-2017,27-01-2017,12-12-2016,Earned Leave Intern COE,Out of Station,Business Process Management,Intern,Approved
501,14-03-2017,14-03-2017,12-12-2016,Earned Leave Intern COE,Was not well,Business Process Management,Intern,Approved
501,27-03-2017,27-03-2017,12-12-2016,Earned Leave Intern COE,Personal Work,Business Process Management,Intern,Approved
501,03-04-2017,03-04-2017,12-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,Not well,Business Process Management,Intern,Approved
501,28-04-2017,28-04-2017,12-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,Family Function ,Business Process Management,Intern,Approved
501,23-01-2017,23-01-2017,12-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,Not Well ,Business Process Management,Intern,Approved
501,27-01-2017,27-01-2017,12-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,Out of Station ,Business Process Management,Intern,Approved
501,30-01-2017,31-01-2017,12-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,Out of Station,Business Process Management,Intern,Approved
163,03-03-2017,03-03-2017,10-02-2016,Earned Leave Confirmed COE,Suffering from viral fevel,null,Trainee Dealer,Approved
163,06-03-2017,06-03-2017,10-02-2016,Earned Leave Confirmed COE,Suffering from viral fever,null,Trainee Dealer,Approved
163,07-03-2017,07-03-2017,10-02-2016,Earned Leave Confirmed COE,suffering from viral fever,null,Trainee Dealer,Approved
163,23-02-2017,28-02-2017,10-02-2016,Leave Without Pay for SixCap Mumbai COE Intern,Going out of station,null,Trainee Dealer,Approved
163,10-02-2017,10-02-2017,10-02-2016,Earned Leave Intern COE,Not  Well,null,Trainee Dealer,Rejected
95,10-03-2017,10-03-2017,01-05-2016,Casual Leave Confirmed COE,Family function,null,Trainee Dealer,Approved
95,03-04-2017,21-04-2017,01-05-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,My marriage ceremony,null,Trainee Dealer,Approved
95,14-02-2017,14-02-2017,01-05-2016,Sick Leave Confirmed COE,Suffering from conjunctivities,null,Trainee Dealer,Rejected
95,20-02-2017,20-02-2017,01-05-2016,Earned Leave Confirmed COE,Still Suffering from conjunctivities,null,Trainee Dealer,Rejected
95,01-03-2017,01-03-2017,01-05-2016,Casual Leave Confirmed COE,Bank related work,null,Trainee Dealer,Rejected
95,03-02-2017,06-02-2017,01-05-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,My engagement ceremony at my home town.,null,Trainee Dealer,Rejected
95,02-01-2017,03-01-2017,01-05-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,This is Amrita Patil (Trainee Dealer). I am writing this mail to inform you that I won't be able to come to office today and tomorrow i.e. 2nd Jan and 3rd Jan because I am suffering from fever and food poisoning. hope you will approve my leave.,null,Trainee Dealer,Rejected
95,04-01-2017,06-01-2017,01-05-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,"Good morning Sir, This is Amrita Patil (Trainee Dealer). I am writing this mail to inform you that I won't be able to come to office for 3 days i.e. 4th jan, 5th jan and 6the jan, 2017 because I am still suffering from fever and food poisoning and have been hospitalized. Hope you will approve my leave.  Thanks ",null,Trainee Dealer,Rejected
95,02-05-2017,05-05-2017,01-05-2016,Earned Leave Confirmed COE,Going out of station,null,Trainee Dealer,Pending
151,04-04-2017,04-04-2017,24-01-2016,Earned Leave Confirmed COE,Due to some personal reason,Business Process Management,AVP,Approved
151,05-04-2017,05-04-2017,24-01-2016,Earned Leave Confirmed COE,Due to some personal reason,Business Process Management,AVP,Approved
151,13-04-2017,13-04-2017,24-01-2016,Earned Leave Confirmed COE,Not well  because of Vomiting. ,Business Process Management,AVP,Approved
151,18-04-2017,18-04-2017,24-01-2016,Earned Leave Confirmed COE,Not feeling well,Business Process Management,AVP,Approved
151,18-04-2017,18-04-2017,24-01-2016,Earned Leave Confirmed COE,Not feeling well,Business Process Management,AVP,Approved
151,16-03-2017,16-03-2017,24-01-2016,Earned Leave Confirmed COE,Due. To some personal reason,Business Process Management,AVP,Approved
151,05-01-2017,05-01-2017,24-01-2016,Earned Leave Intern COE,Not feeling well,Business Process Management,AVP,Approved
151,05-01-2017,05-01-2017,24-01-2016,Earned Leave Intern COE,Not feeling well,Business Process Management,AVP,Approved
151,06-01-2017,06-01-2017,24-01-2016,Earned Leave Intern COE,Not feeling well,Business Process Management,AVP,Approved
151,15-02-2017,15-02-2017,24-01-2016,Leave Without Pay for SixCap Mumbai COE Intern,Eye Check up,Business Process Management,AVP,Approved
151,15-02-2017,15-02-2017,24-01-2016,Leave Without Pay for SixCap Mumbai COE Intern,eye check up,Business Process Management,AVP,Approved
151,22-02-2017,22-02-2017,24-01-2016,Leave Without Pay for SixCap Mumbai COE Intern,Not well got Cramp in the neck,Business Process Management,AVP,Approved
151,22-02-2017,22-02-2017,24-01-2016,Leave Without Pay for SixCap Mumbai COE Intern,Not well due to cramp in the neck,Business Process Management,AVP,Approved
151,23-01-2017,23-01-2017,24-01-2016,Leave Without Pay for SixCap Mumbai COE Intern,Not Feeling well,Business Process Management,AVP,Approved
151,23-01-2017,23-01-2017,24-01-2016,Leave Without Pay for SixCap Mumbai COE Intern,Not Feeling Well,Business Process Management,AVP,Approved
151,22-02-2017,22-02-2017,24-01-2016,Earned Leave Confirmed COE,Not well due to cramp in the neck,Business Process Management,AVP,Rejected
151,22-02-2017,22-02-2017,24-01-2016,Earned Leave Confirmed COE,Not well due to cramp in the neck,Business Process Management,AVP,Rejected
151,03-05-2017,03-05-2017,24-01-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,Due to sudden demise of grandfather,Business Process Management,AVP,Pending
655,07-04-2017,07-04-2017,06-02-2017,Earned Leave Intern COE,As we are informed to submit our final year project tomorrow (7th April).,Not Available,Forex Intern,Approved
655,18-04-2017,18-04-2017,06-02-2017,Earned Leave Intern COE,University written exam.,Not Available,Forex Intern,Approved
655,27-02-2017,27-02-2017,06-02-2017,Earned Leave Intern COE,"I am in the final year of engineering (LDRP-ITR), so I have to attend my Mid Term Examination.",Not Available,Forex Intern,Approved
655,16-03-2017,16-03-2017,06-02-2017,Earned Leave Intern COE,College Submission,Not Available,Forex Intern,Approved
655,24-03-2017,24-03-2017,06-02-2017,Earned Leave Intern COE,Doctor's Appointment  ,Not Available,Forex Intern,Approved
655,11-04-2017,13-04-2017,06-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,University Submissions.,Not Available,Forex Intern,Approved
655,17-04-2017,17-04-2017,06-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,I got eye injection so I was not well enough to come.,Not Available,Forex Intern,Approved
655,26-04-2017,27-04-2017,06-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,External vivas ,Not Available,Forex Intern,Approved
655,28-02-2017,28-02-2017,06-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,"I am in the final year of engineering (LDRP-ITR), so I have to attend my Mid Term Examination.",Not Available,Forex Intern,Approved
655,17-03-2017,17-03-2017,06-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,College Submission,Not Available,Forex Intern,Approved
655,20-03-2017,22-03-2017,06-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Final Year Project Preparation,Not Available,Forex Intern,Approved
655,17-04-2017,17-04-2017,06-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Casual leave,Not Available,Forex Intern,Rejected
611,12-04-2017,12-04-2017,02-01-2017,Earned Leave Intern COE,maharashtra state board vashi. ,Not Available,Forex Intern,Approved
611,17-04-2017,17-04-2017,02-01-2017,Earned Leave Intern COE,Provident fund ,Not Available,Forex Intern,Approved
611,23-02-2017,23-02-2017,02-01-2017,Earned Leave Intern COE,post office to collect the passport,Not Available,Forex Intern,Approved
611,03-03-2017,03-03-2017,02-01-2017,Earned Leave Intern COE,university of mumbai for the enqiry,Not Available,Forex Intern,Approved
611,06-02-2017,17-02-2017,02-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,Brother marriage ,Not Available,Forex Intern,Approved
118,13-12-2016,13-12-2016,01-07-2016,Sick Leave Confirmed COE,Fever,null,Trainee Dealer,Rejected
118,22-02-2017,22-02-2017,01-07-2016,Earned Leave Confirmed COE,Family Function (Home Puja),null,Trainee Dealer,Rejected
118,12-01-2017,12-01-2017,01-07-2016,Casual Leave Confirmed COE,Personal Work,null,Trainee Dealer,Rejected
118,14-12-2016,14-12-2016,01-07-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,Fever,null,Trainee Dealer,Rejected
118,27-02-2017,27-02-2017,01-07-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,Due to fever today am unable to come office,null,Trainee Dealer,Rejected
118,28-02-2017,28-02-2017,01-07-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,Due to fever am not feeling well,null,Trainee Dealer,Rejected
118,20-01-2017,10-02-2017,01-07-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,Leave for my Marriage,null,Trainee Dealer,Rejected
867,11-04-2017,11-04-2017,15-03-2017,Earned Leave Intern COE,exam,Finance,Forex Intern,Approved
867,12-04-2017,14-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,exams and internal evaluation,Finance,Forex Intern,Approved
867,17-04-2017,17-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,mid sem exam,Finance,Forex Intern,Approved
867,19-04-2017,19-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,mid sem,Finance,Forex Intern,Approved
867,21-04-2017,21-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,mid sem exams,Finance,Forex Intern,Approved
867,24-04-2017,24-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,Mid Semester exams,Finance,Forex Intern,Approved
100,10-04-2017,10-04-2017,01-07-2016,Sick Leave Confirmed COE,Not feeling well,null,Trainee Dealer,Approved
100,14-03-2017,14-03-2017,01-07-2016,Casual Leave Confirmed COE,Due to some emergency,null,Trainee Dealer,Approved
100,06-02-2017,06-02-2017,01-07-2016,Earned Leave Confirmed COE,My sister's wedding ceremony.,null,Trainee Dealer,Rejected
100,14-02-2017,14-02-2017,01-07-2016,Earned Leave Confirmed COE,work at bank for loan pupose,null,Trainee Dealer,Rejected
100,16-02-2017,16-02-2017,01-07-2016,Earned Leave Confirmed COE,I need to go at registration office for some work,null,Trainee Dealer,Rejected
100,23-01-2017,23-01-2017,01-07-2016,Earned Leave Confirmed COE,Family function,null,Trainee Dealer,Rejected
100,01-03-2017,01-03-2017,01-07-2016,Earned Leave Confirmed COE,Not well,null,Trainee Dealer,Rejected
100,17-01-2017,17-01-2017,01-07-2016,Casual Leave Confirmed COE,Due to personal reason,null,Trainee Dealer,Rejected
100,18-01-2017,18-01-2017,01-07-2016,Casual Leave Confirmed COE,I have some important work in the bank,null,Trainee Dealer,Rejected
100,03-05-2017,03-05-2017,01-07-2016,Earned Leave Confirmed COE,There is some work in the bank,null,Trainee Dealer,Pending
134,15-03-2017,15-03-2017,01-09-2016,Earned Leave Confirmed COE,I was not feeling well,null,Trainee Dealer,Approved
134,06-04-2017,06-04-2017,01-09-2016,Casual Leave Confirmed COE,family function,null,Trainee Dealer,Approved
134,10-01-2017,10-01-2017,01-09-2016,Casual Leave Confirmed COE,Doctor appointment,null,Trainee Dealer,Approved
134,06-02-2017,07-02-2017,01-09-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,Family Function,null,Trainee Dealer,Rejected
134,14-02-2017,14-02-2017,01-09-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,DOCTOR APPOINTMENT,null,Trainee Dealer,Rejected
134,02-05-2017,02-05-2017,01-09-2016,Earned Leave Confirmed COE,I was not well,null,Trainee Dealer,Pending
821,28-03-2017,28-03-2017,24-02-2017,Earned Leave Intern COE,I have presentation in my college.,Not Available,Forex Intern,Approved
821,10-04-2017,13-04-2017,24-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Mid term exam in college,Not Available,Forex Intern,Approved
483,17-04-2017,17-04-2017,12-12-2016,Earned Leave Intern COE,not well,Not Available,Forex Intern,Approved
483,09-01-2017,09-01-2017,12-12-2016,Earned Leave Intern COE,Not well,Not Available,Forex Intern,Approved
483,03-03-2017,03-03-2017,12-12-2016,Earned Leave Intern COE,family function,Not Available,Forex Intern,Approved
483,20-03-2017,20-03-2017,12-12-2016,Earned Leave Intern COE,not well,Not Available,Forex Intern,Approved
483,23-01-2017,23-01-2017,12-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,family function,Not Available,Forex Intern,Approved
618,17-04-2017,17-04-2017,13-01-2017,Earned Leave Intern COE,Stomach pain ,Not Available,Forex Intern,Approved
618,20-04-2017,20-04-2017,13-01-2017,Earned Leave Intern COE,mom unwell ... doctor's appointment ,Not Available,Forex Intern,Approved
618,17-02-2017,17-02-2017,13-01-2017,Earned Leave Intern COE,Brother's wedding ,Not Available,Forex Intern,Approved
618,02-03-2017,02-03-2017,13-01-2017,Earned Leave Intern COE,unwell,Not Available,Forex Intern,Approved
618,04-04-2017,04-04-2017,13-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,police station verification for passport isssue,Not Available,Forex Intern,Approved
618,11-04-2017,11-04-2017,13-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,due date for submission of documents in college ,Not Available,Forex Intern,Approved
618,21-03-2017,21-03-2017,13-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,m.com college internals ,Not Available,Forex Intern,Approved
618,22-03-2017,22-03-2017,13-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,convocation ceremony ,Not Available,Forex Intern,Approved
618,23-03-2017,24-03-2017,13-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,m.com college internals ,Not Available,Forex Intern,Approved
618,30-03-2017,30-03-2017,13-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,appointment at passport office,Not Available,Forex Intern,Approved
19,16-12-2016,16-12-2016,16-10-2015,Sick Leave Confirmed VHR,Unwell,null,Program Delivery Head,Approved
19,25-01-2017,25-01-2017,16-10-2015,Earned Leave Confirmed VHR,Traveling,null,Program Delivery Head,Approved
